2024/10/27 20:33:27.229 | INFO | Открыто меню фильтрации 
2024/10/27 20:33:27.274 | INFO | Ввод улицы доставки... 
2024/10/27 20:33:34.575 | INFO | Введена улица доставки: ул.Пушкина 
2024/10/27 20:33:34.575 | INFO | Поиск первого заказа... 
2024/10/27 20:33:34.575 | INFO | Заказ найден 
2024/10/27 20:33:34.575 | INFO | Отправка списка заказов в файл фильтрации... 
2024/10/27 20:33:34.575 | INFO | Успешно 
2024/10/27 20:33:34.575 | INFO | Стартовал 4 цикл приложения 
2024/10/27 20:33:34.623 | INFO | Ввод цифры меню... 
2024/10/27 20:33:46.637 | INFO | Открыто меню фильтрации 
2024/10/27 20:33:46.679 | INFO | Ввод улицы доставки... 
2024/10/27 20:33:51.320 | INFO | Введена улица доставки: ул.Новая 
2024/10/27 20:33:51.320 | INFO | Поиск первого заказа... 
2024/10/27 20:33:51.320 | INFO | Заказ найден 
2024/10/27 20:33:51.320 | INFO | Отправка списка заказов в файл фильтрации... 
2024/10/27 20:33:51.320 | INFO | Успешно 
2024/10/27 20:33:51.320 | INFO | Стартовал 5 цикл приложения 
2024/10/27 20:33:51.363 | INFO | Ввод цифры меню... 
2024/10/27 20:35:49.082 | INFO | Проверка наличия файла с заказами... 
2024/10/27 20:35:49.082 | INFO | Файл найден 
2024/10/27 20:35:49.082 | INFO | Стартовал 1 цикл приложения 
2024/10/27 20:35:49.140 | INFO | Ввод цифры меню... 
2024/10/27 20:40:29.028 | INFO | Запуск приложения 
2024/10/27 20:40:29.045 | INFO | Проверка наличия файла с заказами... 
2024/10/27 20:40:29.045 | INFO | Файл найден 
2024/10/27 20:40:29.045 | INFO | Стартовал 1 цикл приложения 
2024/10/27 20:40:29.100 | INFO | Ввод цифры меню... 
2024/10/27 20:46:30.287 | INFO | Запуск приложения 
2024/10/27 20:46:30.309 | INFO | Проверка наличия файла с заказами... 
2024/10/27 20:46:30.309 | INFO | Файл найден 
2024/10/27 20:46:30.309 | INFO | Стартовал 1 цикл приложения 
2024/10/27 20:46:30.366 | INFO | Ввод цифры меню... 
2024/10/27 20:46:31.857 | INFO | Открыто меню фильтрации 
2024/10/27 20:46:31.909 | INFO | Ввод улицы доставки... 
2024/10/27 20:46:34.256 | INFO | Введена улица доставки: рппрп 
2024/10/27 20:46:34.256 | INFO | Поиск первого заказа... 
2024/10/27 20:46:34.271 | INFO | Заказ не найден, отправка соотвествующего сообщения в файл фильтрации... 
2024/10/27 20:46:34.271 | FATAL | Ошибка! Данные ошибки: Value cannot be null. (Parameter 'path')
2024/10/27 20:46:34.271 | INFO | Успешно 
2024/10/27 20:46:34.271 | INFO | Стартовал 2 цикл приложения 
2024/10/27 20:46:34.322 | INFO | Ввод цифры меню... 
2024/10/27 20:50:38.066 | INFO | Запуск приложения 
2024/10/27 20:50:38.083 | INFO | Проверка наличия файла с заказами... 
2024/10/27 20:50:38.083 | INFO | Файл найден 
2024/10/27 20:50:38.083 | INFO | Стартовал 1 цикл приложения 
2024/10/27 20:50:38.130 | INFO | Ввод цифры меню... 
2024/10/27 20:50:38.834 | INFO | Открыто меню фильтрации 
2024/10/27 20:50:38.878 | INFO | Ввод улицы доставки... 
2024/10/27 20:50:41.297 | INFO | Введена улица доставки: пап 
2024/10/27 20:50:41.297 | INFO | Поиск первого заказа... 
2024/10/27 20:50:41.311 | INFO | Заказ не найден, отправка соотвествующего сообщения в файл фильтрации... 
2024/10/27 20:50:41.318 | FATAL | Ошибка! Данные ошибки: Value cannot be null. (Parameter 'path')
2024/10/27 20:50:41.318 | INFO | Стартовал 2 цикл приложения 
2024/10/27 20:50:41.364 | INFO | Ввод цифры меню... 
2024/10/27 20:51:25.187 | INFO | Запуск приложения 
2024/10/27 20:51:25.204 | INFO | Проверка наличия файла с заказами... 
2024/10/27 20:51:25.204 | INFO | Файл найден 
2024/10/27 20:51:25.204 | INFO | Стартовал 1 цикл приложения 
2024/10/27 20:51:25.251 | INFO | Ввод цифры меню... 
2024/10/27 20:51:25.787 | INFO | Открыто меню фильтрации 
2024/10/27 20:51:25.841 | INFO | Ввод улицы доставки... 
2024/10/27 20:51:29.171 | INFO | Введена улица доставки: рпр 
2024/10/27 20:51:29.171 | INFO | Поиск первого заказа... 
2024/10/27 20:51:29.186 | INFO | Заказ не найден, отправка соотвествующего сообщения в файл фильтрации... 
2024/10/27 20:51:29.186 | INFO | Успешно 
2024/10/27 20:51:29.186 | INFO | Стартовал 2 цикл приложения 
2024/10/27 20:51:29.231 | INFO | Ввод цифры меню... 
2024/10/27 21:14:06.275 | INFO | Запуск приложения 
2024/10/27 21:14:06.292 | INFO | Проверка наличия файла с заказами... 
2024/10/27 21:14:06.292 | INFO | Файл найден 
2024/10/27 21:14:06.292 | INFO | Стартовал 1 цикл приложения 
2024/10/27 21:14:06.354 | INFO | Ввод цифры меню... 
2024/10/27 21:14:19.452 | INFO | Открыто меню нового заказа 
2024/10/27 21:14:19.496 | INFO | Генерация ID 
2024/10/27 21:14:19.496 | INFO | Ввод веса... 
2024/10/27 21:14:21.909 | WARN | Ошибка ввода 
2024/10/27 21:14:21.909 | INFO | Ввод веса... 
2024/10/27 21:14:26.500 | INFO | Введен вес: 17 
2024/10/27 21:14:26.500 | INFO | Ввод улицы... 
2024/10/27 21:14:33.082 | INFO | Введен успешно 
2024/10/27 21:14:33.082 | INFO | Ввод улицы... 
2024/10/27 21:14:38.933 | INFO | Введен успешно 
2024/10/27 21:14:38.933 | INFO | Передан район: ул.Пушкина,13к3стр6 
2024/10/27 21:14:38.933 | INFO | Ввод даты и времени заказа... 
2024/10/27 21:15:06.716 | INFO | Введена дата и время заказа: 12.12.2024 15:19:20 
2024/10/27 21:15:06.716 | INFO | Отправка данных в файл FileOrder.csv... 
2024/10/27 21:15:06.721 | INFO | Успешно 
2024/10/27 21:15:06.721 | INFO | Стартовал 2 цикл приложения 
2024/10/27 21:15:06.769 | INFO | Ввод цифры меню... 
2024/10/27 21:15:08.659 | INFO | Открыто меню фильтрации 
2024/10/27 21:15:08.704 | INFO | Ввод улицы доставки... 
2024/10/27 21:15:13.709 | INFO | Введена улица доставки: ул.Пушкина 
2024/10/27 21:15:13.709 | INFO | Поиск первого заказа... 
2024/10/27 21:15:13.709 | INFO | Заказ найден 
2024/10/27 21:15:13.709 | INFO | Отправка списка заказов в файл фильтрации... 
2024/10/27 21:15:13.709 | INFO | Успешно 
2024/10/27 21:15:13.709 | INFO | Стартовал 3 цикл приложения 
2024/10/27 21:15:13.762 | INFO | Ввод цифры меню... 
2024/10/27 21:20:03.560 | INFO | Запуск приложения 
2024/10/27 21:20:03.577 | INFO | Проверка наличия файла с заказами... 
2024/10/27 21:20:03.577 | INFO | Файл найден 
2024/10/27 21:20:03.577 | INFO | Стартовал 1 цикл приложения 
2024/10/27 21:20:03.623 | INFO | Ввод цифры меню... 
2024/10/27 21:20:05.517 | INFO | Открыто меню нового заказа 
2024/10/27 21:20:05.562 | INFO | Генерация ID 
2024/10/27 21:20:05.567 | INFO | Ввод веса... 
2024/10/27 21:20:20.179 | INFO | Введен вес: 12 
2024/10/27 21:20:20.179 | INFO | Ввод улицы... 
2024/10/27 21:20:24.533 | INFO | Введен успешно 
2024/10/27 21:20:24.534 | INFO | Ввод улицы... 
2024/10/27 21:20:28.168 | INFO | Введен успешно 
2024/10/27 21:20:28.168 | INFO | Передан район: екуеке,3 
2024/10/27 21:20:28.168 | INFO | Ввод даты и времени заказа... 
2024/10/27 21:20:46.725 | INFO | Введена дата и время заказа: 22.12.2222 22:22:22 
2024/10/27 21:20:46.725 | INFO | Отправка данных в файл FileOrder.csv... 
2024/10/27 21:20:46.725 | INFO | Успешно 
2024/10/27 21:20:46.725 | INFO | Стартовал 2 цикл приложения 
2024/10/27 21:20:46.769 | INFO | Ввод цифры меню... 
2024/10/27 21:20:47.727 | INFO | Открыто меню фильтрации 
2024/10/27 21:20:47.771 | INFO | Ввод улицы доставки... 
2024/10/27 21:20:51.939 | INFO | Введена улица доставки: ул.Пушкина 
2024/10/27 21:20:51.940 | INFO | Поиск первого заказа... 
2024/10/27 21:20:51.940 | INFO | Заказ найден 
2024/10/27 21:20:51.940 | INFO | Отправка списка заказов в файл фильтрации... 
2024/10/27 21:20:51.940 | INFO | Успешно 
2024/10/27 21:20:51.940 | INFO | Стартовал 3 цикл приложения 
2024/10/27 21:20:51.987 | INFO | Ввод цифры меню... 
2024/10/27 21:21:47.157 | INFO | Запуск приложения 
2024/10/27 21:21:47.174 | INFO | Проверка наличия файла с заказами... 
2024/10/27 21:21:47.174 | INFO | Файл найден 
2024/10/27 21:21:47.174 | INFO | Стартовал 1 цикл приложения 
2024/10/27 21:21:47.221 | INFO | Ввод цифры меню... 
2024/10/27 21:21:48.075 | INFO | Открыто меню нового заказа 
2024/10/27 21:21:48.130 | INFO | Генерация ID 
2024/10/27 21:21:48.130 | INFO | Ввод веса... 
2024/10/27 21:21:49.267 | INFO | Введен вес: 21 
2024/10/27 21:21:49.268 | INFO | Ввод улицы... 
2024/10/27 21:21:50.425 | INFO | Введен успешно 
2024/10/27 21:21:50.425 | INFO | Ввод улицы... 
2024/10/27 21:21:51.394 | INFO | Введен успешно 
2024/10/27 21:21:51.394 | INFO | Передан район: 121,21 
2024/10/27 21:21:51.394 | INFO | Ввод даты и времени заказа... 
2024/10/27 21:22:06.464 | INFO | Введена дата и время заказа: 22.12.2222 22:22:22 
2024/10/27 21:22:06.464 | INFO | Отправка данных в файл FileOrder.csv... 
2024/10/27 21:22:06.464 | INFO | Успешно 
2024/10/27 21:22:06.464 | INFO | Стартовал 2 цикл приложения 
2024/10/27 21:22:06.510 | INFO | Ввод цифры меню... 
2024/10/27 21:22:34.834 | INFO | Запуск приложения 
2024/10/27 21:22:34.851 | INFO | Проверка наличия файла с заказами... 
2024/10/27 21:22:34.851 | INFO | Файл найден 
2024/10/27 21:22:34.851 | INFO | Стартовал 1 цикл приложения 
2024/10/27 21:22:34.901 | INFO | Ввод цифры меню... 
2024/10/27 21:22:35.359 | INFO | Открыто меню нового заказа 
2024/10/27 21:22:35.404 | INFO | Генерация ID 
2024/10/27 21:22:35.404 | INFO | Ввод веса... 
2024/10/27 21:22:36.275 | INFO | Введен вес: 12 
2024/10/27 21:22:36.275 | INFO | Ввод улицы... 
2024/10/27 21:22:37.063 | INFO | Введен успешно 
2024/10/27 21:22:37.063 | INFO | Ввод улицы... 
2024/10/27 21:22:37.653 | INFO | Введен успешно 
2024/10/27 21:22:37.653 | INFO | Передан район: 12,12 
2024/10/27 21:22:37.653 | INFO | Ввод даты и времени заказа... 
2024/10/27 21:22:46.331 | INFO | Введена дата и время заказа: 22.12.2222 22:22:22 
2024/10/27 21:22:46.331 | INFO | Отправка данных в файл FileOrder.csv... 
2024/10/27 21:22:46.331 | INFO | Успешно 
2024/10/27 21:22:46.331 | INFO | Стартовал 2 цикл приложения 
2024/10/27 21:22:46.376 | INFO | Ввод цифры меню... 
2024/10/27 21:27:22.596 | INFO | Запуск приложения 
2024/10/27 21:27:22.617 | INFO | Проверка наличия файла с заказами... 
2024/10/27 21:27:22.617 | INFO | Файл найден 
2024/10/27 21:27:22.617 | INFO | Стартовал 1 цикл приложения 
2024/10/27 21:27:22.674 | INFO | Ввод цифры меню... 
2024/10/27 21:27:44.294 | INFO | Открыто меню фильтрации 
2024/10/27 21:27:44.340 | INFO | Ввод улицы доставки... 
2024/10/27 21:27:49.285 | INFO | Введена улица доставки: ул.Новая 
2024/10/27 21:27:49.285 | INFO | Поиск первого заказа... 
2024/10/27 21:27:49.304 | INFO | Заказ найден 
2024/10/27 21:27:49.304 | INFO | Отправка списка заказов в файл фильтрации... 
2024/10/27 21:27:49.304 | INFO | Успешно 
2024/10/27 21:27:49.304 | INFO | Стартовал 2 цикл приложения 
2024/10/27 21:27:49.353 | INFO | Ввод цифры меню... 
